[Type: Postech2019_Src],[Date: 08/29/19 09:39:44],,,,,,,,,,,,,,,,,,,
X1_InP,X2_InP,X3_InP,X4_InP,X5_InP,X6_InP,X7_InP,X8_InP,X9_InP,X10_InP,X11_InP,X12_InP,X13_InP,X14_InP,????,Post??,????????,|????-??????|,|Post??-??????|,??,????
2.521,224.26,224.09,658,3092.4,3080.2,1128,1108,302,2224,3124,0.35724,0,22,224.2550138,222.865,40.4,,,,0.00277
2.521,203.52,203.36,658.1,3078.9,2792,1128,1106,302,2224,3124,0.35724,0,22,203.2414241,202.016,40.4,,,,0.00277
2.521,183.37,183.23,658.1,3019.2,2840.1,1128,1103,302,2224,3124,0.35724,0,22,183.335038,182.261,40.4,,,,0.00277
2.521,164.58,164.44,658.2,2906.3,2671.6,1128,1100,302,2224,3124,0.35724,0,22,164.4361501,163.505,40.4,,,,0.00277
2.521,146.84,146.71,658.3,2823.7,2612.1,1128,1097,302,2224,3124,0.35724,0,22,146.7516684,145.955,40.4,,,,0.00277
2.521,130.54,130.42,658.4,2756.8,2488.8,1128,1094,302,2224,3124,0.35724,0,22,130.4001651,129.728,40.4,,,,0.00277
2.521,115.72,115.64,658.4,2481,2422.4,1128,1091,302,2224,3124,0.35724,0,22,115.6533997,115.078,40.4,,,,0.00277
2.521,102.64,102.53,658.5,2365.2,2316.1,1128,1085,302,2224,3124,0.35724,0,22,102.4906218,102.009,40.4,,,,0.00277
2.521,91.04,90.98,658.6,2241.4,2271,1128,1080,302,2224,3124,0.35724,0,22,90.97379631,90.563,40.4,,,,0.00277
2.521,80.94,80.85,658.6,2191,2145.4,1128,1073,302,2224,3124,0.35724,0,22,80.73851821,80.399,40.4,,,,0.00277
2.521,73.66,73.65,658.7,2874.4,2415.5,1128,871,302,2224,3124,0.35724,0,22,74.24722901,73.915,40.4,,,,0.00277
2.521,67.53,67.85,658.7,2901.5,2701.4,1128,868,302,2224,3124,0.35724,0,22,68.94335981,68.612,40.4,,,,0.00277
2.521,62.66,62.61,658.7,2815.7,2854.1,1128,865,302,2224,3124,0.35724,0,22,63.95303621,63.665,40.4,,,,0.00277
2.521,57.95,57.92,658.8,2827.3,2846.8,1128,861,302,2224,3124,0.35724,0,22,59.29040851,59.023,40.4,,,,0.00277
2.521,53.54,53.51,658.8,2834,2859.4,1128,858,302,2224,3124,0.35724,0,22,54.93409841,54.687,40.4,,,,0.00277
2.471,49.38,49.36,658.8,2847.4,2859.6,1128,853,302,2224,3124,0.35724,0,22,50.81968601,50.643,40.4,,,,0.00277
2.441,45.58,45.56,658.8,2834.3,2850.6,1128,849,302,2224,3124,0.35724,0,22,47.03926291,46.904,40.4,,,,0.00277
2.441,42.08,42.11,658.8,2821.2,2807.6,1128,842,302,2224,3124,0.35724,0,22,43.56412441,43.456,40.4,,,,0.00277
2.381,38.87,39.06,658.8,2800,2731.5,1128,837,302,2224,3124,0.35724,0,22,40.44125731,40.367,40.4,0.041257307,0.033,Post??,0.00277
2.521,285.69,285.6,657.9,2446,2638.2,1125,1114,302,2225,2627,0.35724,0,20,284.6810297,282.769,40.27,,,,0.00277
2.521,266.6,266.47,657.9,2459.9,2856.8,1125,1112,302,2225,2627,0.35724,0,20,266.011578,264.266,40.27,,,,0.00277
2.521,242.05,241.99,658,3145.8,3046.4,1125,1109,302,2225,2627,0.35724,0,20,241.9408864,240.44,40.27,,,,0.00277
2.521,218.79,218.63,658,3126.2,3022.6,1125,1107,302,2225,2627,0.35724,0,20,218.7056448,217.401,40.27,,,,0.00277
